time,accX,accY,accZ,target,group
2023-09-15 15:11:08.875,-4.8,0.3,-1.1,Walk,1
2023-09-15 15:11:08.892,-4.1,0.5,-1.04,Walk,1
2023-09-15 15:11:08.908,-3.21,0.56,-1.39,Walk,1
2023-09-15 15:11:08.925,-2.42,0.81,-1.55,Walk,1
2023-09-15 15:11:08.942,-0.83,1.19,-1.96,Walk,1
2023-09-15 15:11:08.958,0.66,1.62,-2.27,Walk,1
2023-09-15 15:11:08.975,1.33,2.05,-2.34,Walk,1
2023-09-15 15:11:08.991,1.94,2.79,-2.06,Walk,1
2023-09-15 15:11:09.008,2.16,3.32,-1.2,Walk,1
2023-09-15 15:11:09.025,2.41,3.57,-0.79,Walk,1
2023-09-15 15:11:09.042,2.54,3.97,-0.29,Walk,1
2023-09-15 15:11:09.058,2.59,4.55,-0.31,Walk,1
2023-09-15 15:11:09.075,2.82,4.97,-0.55,Walk,1
2023-09-15 15:11:09.091,3.2,5.57,-1.07,Walk,1
2023-09-15 15:11:09.108,3.43,6.18,-1.39,Walk,1
2023-09-15 15:11:09.125,3.84,6.86,-1.48,Walk,1
2023-09-15 15:11:09.141,4.08,7.16,-1.56,Walk,1
2023-09-15 15:11:09.158,4.56,7.32,-1.88,Walk,1
2023-09-15 15:11:09.175,5.15,7.45,-2.19,Walk,1
2023-09-15 15:11:09.192,5.55,7.52,-2.25,Walk,1
2023-09-15 15:11:09.208,6.39,7.2,-2.35,Walk,1
2023-09-15 15:11:09.225,7.13,6.74,-2.37,Walk,1
2023-09-15 15:11:09.242,7.49,6.46,-2.35,Walk,1
2023-09-15 15:11:09.258,7.88,6.14,-2.21,Walk,1
2023-09-15 15:11:09.275,7.41,7.14,-1.41,Walk,1
2023-09-15 15:11:09.292,7.38,7.2,-0.73,Walk,1
2023-09-15 15:11:09.308,7.43,6.64,0.57,Walk,1
2023-09-15 15:11:09.325,6.81,5.88,1.32,Walk,1
2023-09-15 15:11:09.341,6.05,,,Walk,1
2023-09-15 15:11:09.358,4.27,5.03,2.1,Walk,1
2023-09-15 15:11:09.375,2.8,4.77,2.62,Walk,1
2023-09-15 15:11:09.392,2.03,4.53,2.7,Walk,1
2023-09-15 15:11:09.408,0.81,4.29,2.45,Walk,1
2023-09-15 15:11:09.425,-0.29,3.68,1.71,Walk,1
2023-09-15 15:11:09.442,-0.97,3.11,1.38,Walk,1
2023-09-15 15:11:09.459,-2.23,2.09,1.22,Walk,1
2023-09-15 15:11:09.475,-2.66,1.1,1.41,Walk,1
2023-09-15 15:11:09.491,-2.6,0.62,,Walk,1
2023-09-15 15:11:09.508,-2.0,0.05,1.45,Walk,1
2023-09-15 15:11:09.525,-1.4,-0.41,1.0,Walk,1
2023-09-15 15:11:09.541,-1.17,-0.66,0.8,Walk,1
2023-09-15 15:11:09.558,-0.6,-0.83,0.55,Walk,1
2023-09-15 15:11:09.575,-0.1,-0.71,0.4,Walk,1
2023-09-15 15:11:09.591,0.1,-0.55,0.3,Walk,1
2023-09-15 15:11:09.608,0.0,-0.51,0.28,Walk,1
2023-09-15 15:11:09.625,-0.4,-0.47,0.31,Walk,1
2023-09-15 15:11:09.642,-1.01,-0.59,0.4,Walk,1
2023-09-15 15:11:09.658,-1.32,-0.63,0.4,Walk,1
2023-09-15 15:11:09.675,-1.73,-0.45,0.19,Walk,1
2023-09-15 15:11:09.691,-2.05,-0.33,,Walk,1
2023-09-15 15:11:09.708,-2.27,-0.33,-0.67,Walk,1
2023-09-15 15:11:09.725,-2.82,-0.42,-1.3,Walk,1
2023-09-15 15:11:09.742,-3.58,-0.46,-1.74,Walk,1
